naziv,slika,tag,kalorije,UH,proteini,masti,GI,sastojci,priprema,
Corba od pecuraka sa mladim sirom i peršunom,../images/recipe4.jpg,"nizak_gi,niski_UH,niskokaloricno",56,3,7.5,1.5,23,"Potrebno je za 4 osobe
   •      250 g sampinjona
   •      0.7 l domace supe ili vode sa kockom za supu
   •      80 g krem sira (0% m. m.)
   •      15 g persuna (jedna saka)
   •      so, zacini po ukusu","Sampinjone iseckati na listice, spustiti ih u prokljucalu supu, zaciniti i prokuvati oko 5 minuta.
Sve presuti u blender, dodati persun i krem sir pa blendirati (pasirati) dok se corba ne ujednaci (1-2 min.).
Sluziti toplo.",
corba od karfiola,../images/recipe2.jpg,"nizak_gi,niski_UH,niskokaloricno",57,1.6,2.9,4.3,21,"   •      350 g karfiola
   •      0.7 l domace supe ili vode sa kockom za supu
   •      100 g krem sira (0% m. m.) ili 100 g kisele pavlake (12% m. m.)
   •      10 g persuna (jedna manja saka)
   •      so, zacini po ukusu
   •      1 supena kasika hladno cedenog maslinovog ulja, po porciji","
Cvetove i stabljiku karfiola sitnoiseckati, spustiti sve u prokljucalu supu ili vodu sa kockom za supu, zaciniti i prokuvati oko 5 minuta.
Sve presuti u blender, dodati krem sir pa blendirati (pasirati) dok se corba ne ujednaci (oko 1 minut).
Sipati u tanjir dodati jednu supenu kasiku hladno cedenog maslinovog ulja i posuti seckanim persunom Sluziti toplo.",
"
Salata od sampinjona sa paradajzom",../images/recipe20.jpg,"nizak_gi,niski_UH,niskokaloricno",61,2.8,2.8,4.3,14,"   •      500 g sampinjona
   •      350 g paradajza
   •      30 g kuvanog soka od paradaiza (4 supene kasike)
   •      25 g hladno cedenog maslinovog ulja
   •      25 g parmezana
   •      10 g belog luka (2-3 cena)
   •      1 supena kasika seckanog persuna
   •      so, biber, zacini po ukusu","Izabrati sitnije sampinjone i iseci ih na cetvrtine. Kuvati ih u posoljenoj vodi2-3 minuta, pa ih isprati i ocediti.
Beli luk sitno iseckati, a paradajz oljustiti i iseci na krupnije komade.
Izmesati sampinjone sa paradajzom i belim lukom, dodati sok od paradajza, seckani list persuna, maslinovo ulje, so, biber i zacine po zelji, pa sve pailjivo promesati.
 Posuti parmezanom i servirati hladno!",
Zapeceni praziluk,../images/recipe16.jpg,"niski_UH,niskokaloricno",67,5.9,3.8,3.1,26,"   •      1 kg praziluka
   •      300 g paradajza (2 srednje velika)
   •      4 jaja
   •      30 g prezie
   •      so, zacini po ukusu
   •      20 g seckanog persuna
   •      15 g belog luka (3-4 cena)
   •      250 g kisele pavlake (12% m. m.)","Praziluk ocistiti, uzduzno ga presecii dobro oprati. Iseci ga na komade duzine oko 5 cm i staviti ga u kipucu vodu, prokuvati oko 10 minuta.
Na zagrejanom ulju kratko propritibareni praziluk i sitno iseckan beli luk, zaciniti po ukusu, i na kraju dodati sitno iseckan persun.
Vatrostalnu posudu premazati uljemi na dno staviti polovinu pripremijenogpraziluka. Zatim sloziti paradajz isecen na kolutove, posuti prezlom i prekriti preostalim prazilukom.
U dubljoj posudi umutiti jaja,dodati pavlaku i zacine pa time preliti praziluk. Peci u pecnici zagrejanoj na 200°C, 15-20 minuta.
Sluiti toplo uz kuvano ili peceno meso
ili servirati kao lagan, niskokalorican zaseban obrok.",
Punjene tikvice,../images/recipe14.jpg,"niski_UH,niskokaloricno",69,4.5,5.3,3.3,30,"   •      1.7 kg tikvica
   •      300 g mlevenog juneceg ill konjskog mesa
   •      50 g Basmati pirinca
   •      30 gulja od grozdanih kostica
   •      70 g crnog luka
   •      20 g integralnog ovsenog brasna
   •      so, zacini po ukusu
   •      150 g paradajza (1 srednji)","Na ulju idinstati sitno iseckan crni luk, dodati mleveno meso i prodinstati ga zajedno sa lukom. Pirina obariti u posoljenoj kljucaloj vodi desetak minuta (da bude do pola kuvan) i pomesati ga sa mesom i lukom, posoliti i zaciniti po ukusu. Tikvice oljustiti, preseci na pola i izubiti, a zatim ih puniti pripremijenom smesom, ali ne do vra vec tako da ostane oko 2 cm praznog prostora (to ce se popuniti kada pirina nabubri). Svaku tikvicu zatvoriti komadicem paradajza. Punjene tikvice poredati u vatrostalnu dublju posudu, sa otvorom okrenutim na gore. Zalit ih prelivom da ogreznu i staviti u rernu zagrejanu na 250°C. Smanjiti na 200°C i peci oko 30 minuta, dok ne omenu. Preliv spremiti tako sto cete na malo ulja propri brasno desetak sekundi (paziti da ne potamni) i naliti sa 7 do 8 di vode. Cim prokljuca, preliv sipati oko. tikvica a po jednu kasiku preliva sipati u svaku tikvicu, pre nego sto se zatvori paradajzom.",
Musaka od patlidžana,../images/recipe11.jpg,"nizak_gi,niski_UH,niskokaloricno",84,4.6,7.7,3.8,17,"   •      1 kg oljustenog patlidzana
   •      60 g ulja od grozdanih kostica
   •      300 g mlevenog juneceg ili konjskog mesa
   •      200 g luka ili praziluka
   •      40 g suvih sojinih ljuspica ""Soja Vita""
   •      150 g mleka
   •      2 jaja","Sitno iseckati luk ili praziluk i izdinstati ga na ulju dok ne postane staklast. Dodati meso i proprziti ga, uz stalno mesanje, dok ne postane rastresito, a zatim dodati sojine ljuspice, prethodno natopliene u vodi i sve sjediniti. 
Zaciniti po ukusu. Patlidzan iseci na reinjeve, po duzini, debljine oko pola santimetra i malo ga prepeci sa obe strane na rostilju ili u tiganju bez ulja, kako bi otpustio visak tecnosti. 
Ukupnu kolicinu patlidzana podeliti na tri dela i prvi deo poslagati na dno vatrostalne cinije ili pleha, da ga u potpunosti prekrije, zatim rasporediti polovinu mesa i prekriti je drugim delom patlidzana.
Staviti preostalo meso, a zatim i treci, poslednji deo patlidzana. Musaku preliti sa 2 jajeta umucena sa mlekom i zacinima, tako da ogrezne, a gornju povrsinu mozete premazati sa oko 50 g jogurta kako se patlidzan ne biprepekao i previse isusio. 
Staviti u rernu zagrejanu na 250°C, smanjiti na 200°C i peci oko 30-40 minuta, dok ne upije sav preliv.",
Zeleni rolat sa sirom,../images/recipe10.jpg,"niski_UH,niskokaloricno",89,3.9,8.5,4.3,25,"   •      500 g krem sira sa 0% m. m
   •      130 g kisele crvene paprike ili sveze paprike popskane sircetom
   •      4 jaja
   •      300 g spanaca
   •      40 g ovsenog brasna
   •      15 g persuna (jedna saka)","Belanca umutiti u cvrst sneg i dodatiobaren, sitno iseckan i oceden spanac, a zatim postepeno, jedno po jedno žumanca i brasno, sve vreme muteci mikserom. 
U pleh od rerne staviti papir za pecenje, sipati testo i ravnomerno ga rasporediti, a zatim peci na 150°C oko 20 minuta, dok testo ne porumeni i dok se ne odvoji od ivica pleha. 
Testo pazijivo izvaditi iz pleha i prebaciti na planenu salvetu koja ce, posle filovanja, omoguciti lakse uvijanje rolata.
Izmesati sir sa iseckanom crvenompaprikom i persunom (iseckati ga veoma sitno), pa dobijenom smesom premazati testo preko cele povrsine.
 Ostaviti nenafilovano oko pet santimetara uz gornju ivicu testa. Rolat uviti pomocu platnene salvete, obmotati ga njom i vezati koncem na tri mesta. 
Staviti u frizider i ostaviti da se ohladi (oko 3 sata). 
Iseci na kriske debljine oko 1.5 cm i servirati.",
Sarmice od zelja../images/recipe12.jpg,"niski_UH,niskokaloricno",100,4.9,10.9,4,43,"   •      500 g mlevenog juneceg ili konjskog mesa od buta
   •      350 g zelja
   •      90 g crnog luka (jedna manja glavica)
   •      50 g integralnog Basmati pirinca
   •      30 g sojinih ljuspica
   •      1 jaje
   •      40 g ulja od grozdanih kostica
   •      10 g ovsenog brasna (1 ravna kasika)
   •      so, zacini po ukusu","Na ulju izdinstati sitno iseckan lukdok ne postane staklast, a zatim dodati meso i pirinac koji je prethodno obaren do pola u ljucaloj vodi, oko 10 minuta.
Dodati sojine ljuspice, natopliene u vodi i ocedene, jaje, so i zacine. Sve izmesati. 
Listovima zelja odstraniti drvenasti deo koji se nalazi duz lista, po sredini, a zatim ih na kratko spustiti u kljucalu vodu, tek toliko da omeksaju kako bi se mogli savijati. 
Na svaki list staviti po jednu punu supenu kasiku fila i uvijati sarmice. Na dno posude u kojoj ce se kuvati sarmice staviti nekoliko listova zelja, pa na njih redati sarmice, u vise redova. 
Brasno razmutiti u malo vode i dodati u 3.5 dl vode kojom onda treba naliti sarmice tako da ogreznu.
Kuvati oko 40 minuta.
Sluziti toplo, sa kiselim mlekom!",
corba od koprive,../images/recipe5.jpg,"niski_UH,niskokaloricno",100,7.3,10.5,3.3,25,"   •      100 g sveze koprive
   •      0.8 l domace supe ili vode sa kockom za supu
   •      so, zacini po ukusu
   •      100 g krem sira (0% m. m.)
   •      1 jaje
   •      20 g ovsenog brasna","U prokljucalu domacu supu (junecu ili
pilecu) ili u vodu sa kockom za supu, staviti iseckanu koprivu i kuvati oko
5 minuta. Posoliti i zaciniti po ukusu.
U posebnom sudu umutitijaje sa 20 g brasna, posoliti i polako dodavati u corbu tako da lagano curi sa kasike (u obliku krpica).
Prokuvati 2 do 3 minuta.
Servirati u dublje posude i u svaku dodati jednu kafenu kasicicu krem sira.
Sluziti toplo",
corba od povrca,../images/recipe6.jpg,"niski_UH,niskokaloricno",103,8.5,4.5,5.8,32,"   •      200 g karfiola
   •      50 g sargarepe
   •      50 g mladog graska (moze smrznut)
   •      50 g zelene boranije (moze smrznuta)
   •      50 g kukuruza secerca
   •      100 g tikvica
   •      300 g mleka (1.6% m. m.)
   •      10 g ovsenog brasna
   •      30 g putera (maslaca)
   •      so, zacini po ukusu","U pola litra kljucale, posoljene vode spustiti povrce (karfiol razavojiti na sitne cvetice, sargarepu iseckati na kockice, a boranju iseckati na komadice duzine oko 2 cm). Kuvati oko 10 minuta, dok ne omekne. 
Procediti i sauvati vodu u kojoj se kuvalo povrce.
U posebnoj, vecoj posudi otopiti puter, umesati brasno (paziti da ne potamni) i mleko i kuvati oko 3 minuta dok se malo ne zgusne.
 Dodati kuvano povrce, promesati, a zatim polako doliti vodu u kojoj se povrée kuvalo.
Zaciniti po ukusu i kuvati jos 5 minuta na tihoj vatri.
 Sluziti toplo!",
